Kihong Heo ,Post-doc,2019,KAIST,https://www.cis.upenn.edu/~kheo/
Mukund Raghothaman,Post-doc,2019,USC,https://r-mukund.github.io/
Joachim Breitner,Post-doc,2019,DFINITY,https://www.joachim-breitner.de/blog
Brian Heath,Masters,2019,Tortuga,http://brianheath.info/
Leonidas Lampropoulos,Ph.D. ,2018,"Post-doc, U. Maryland, UPenn",https://lemonidas.github.io/
Jennifer Paykin,Ph.D.,2018,Galois,https://jpaykin.github.io/
Robert Rand,Ph.D.,2018,"Postdoc, UMD",https://www.cs.umd.edu/~rrand/
Christine Rizkallah,Post-doc,2018,UNSW,http://www.cse.unsw.edu.au/~crizkallah/
Nimit Singhania,Ph.D.,2018,Google,https://www.linkedin.com/in/nimit-singhania-a378527
Konstantinos Mamouras,Post-doc,2018,Rice,https://csweb.rice.edu/konstantinos-mamouras
Woosuk Lee,"Post-doc
",2018,Hanyang Univ.,http://psl.hanyang.ac.kr/
Richard Zhang,"Masters
",2018,,
Dong-Ho Lee,Masters,2018,CEA List,
Justin Hsu,Ph.D. ,2017,U. Wisconsin,https://justinh.su/
Arthur Azevedo de Amorim,Ph.D. ,2017,"Post-doc, CMU",http://arthuraa.net/
Kenny Foner,Masters,2017,Galois,https://very.science/
Arjun Radhakrishna,Post-doc,2017,Microsoft,
Xin Zhang,Ph.D.,2017,"Post-doc, MIT",http://people.csail.mit.edu/xzhang/
Richard A. Eisenberg,Ph.D. ,2016,Tweag I/O,https://richarde.dev/
William Mansky,Post-doc,2016,UIC,https://www.cs.uic.edu/~mansky/
Dmitri Garbuzov,Masters,2016,,
Yifei Yuan,Ph.D.,2016,"Post-doc, CMU",http://www.andrew.cmu.edu/user/yifeiy2/
Abhishek Udupa,Ph.D.,2016,Microsoft,https://abhishekudupa.github.io/
Mukund Raghothaman,Ph.D.,2016,USC,https://r-mukund.github.io/
Salar Moarref,Ph.D.,2016,Uber,https://www.salarmoarref.com/
Dana Fisman,Post-doc,2016,Ben Gurion Univ.,https://www.cs.bgu.ac.il/~dana/
Matthew Weaver,Undergrad,2016,Princeton,https://www.cs.princeton.edu/~mzweaver/
Vilhelm Sjöberg,Ph.D. ,2015,"CertiK
",http://www.cs.yale.edu/homes/vilhelm/
Peter-Michael Osera ,Ph.D.,2015,Grinnell College,https://iampmo.com/
Loris D'Antoni,Ph.D.,2015,U. Wisconsin,http://pages.cs.wisc.edu/~loris/
Christos Stergiou,Post-doc,2015,Google,
Brent Yorgey,Ph.D. ,2014,Hendrix College,http://ozark.hendrix.edu/~yorgey/
Chris Casinghino,Ph.D. ,2014,Draper Labs,https://www.draper.com/
Emilio Jesús Gallego Arias,Post-doc,2014,MINES ParisTech,https://www.cri.ensmp.fr/people/gallego/
Michael Greenberg,Ph.D. ,2013,Pomona College,https://cs.pomona.edu/~michael/
Karl Mazurak ,Ph.D.,2013,Google,
Hongbo (Bob) Zhang,Masters,2013,Bloomberg,https://www.linkedin.com/in/hongbo-zhang-a8574157
Jianzhou Zhao ,Ph.D.,2013,Facebook,
Benoît Valiron,Post-doc,2013,CentraleSupélec,www.monoidal.net
Sela Mador-Haim,ABD,2013,Coverity,
Delphine Demange,Post-doc,2013,Rennes 1,http://people.rennes.inria.fr/Delphine.Demange/index.php
Marco Gaboardi,Post-doc,2013,Boston University,http://cs-people.bu.edu/gaboardi/
Benoît Montagu,Post-doc,2013,Inria ,http://people.irisa.fr/Benoit.Montagu/
Cătălin Hrițcu,Post-doc,2013,Inria Paris,https://prosecco.gforge.inria.fr/personal/hritcu/
Aravind Machiry,Masters,2013,"Ph.D., UCSB",https://machiry.github.io/
Cătălin Hriţcu,Post-doc,2013,Inria Paris,https://prosecco.gforge.inria.fr/personal/hritcu/
Aaron Bohannon,Ph.D. ,2012,Google,
Ashutosh Trivedi,Post-doc,2012,"U. Colorado, Boulder",https://ashut.bitbucket.io/
Jyotirmoy Deshmukh,Post-doc,2012,USC,https://viterbi-web.usc.edu/~jdeshmuk/
Nate Foster,Ph.D. ,2009,Cornell,https://www.cs.cornell.edu/~jnfoster/
Limin Jia,Post-doc,2009,CMU,http://www.andrew.cmu.edu/user/liminjia/
Jeff Vaughan,Ph.D.,2009,Google,http://www.jeffvaughan.net/
Pavol Cerný,Ph.D.,2009,"U. Colorado, Boulder",https://cernyp.github.io/
Gera Weiss,Post-doc,2009,Ben Guiron Univ.,https://in.bgu.ac.il/en/natural_science/cs/geraw/Pages/default.aspx
Aditya Kanade,Post-doc,2009,IISc Bangalore,http://www.iisc-seal.net/kanade
Dimitrios Vytiniotis,Ph.D. ,2008,MSR Cambridge,https://www.microsoft.com/en-us/research/people/
Peng Li,Ph.D.,2008,Google,
Mikhail Bernadsky,Ph.D.,2008,Microsoft,
Geoffrey Washburn,Ph.D. ,2007,LogicBlox,https://developer.logicblox.com/
Stephen Tse,Ph.D. ,2007,,
Wonhong Nam,Ph.D.,2007,Konkuk Univ.,http://home.konkuk.ac.kr/~wnam/
Swarat Chaudhury,Ph.D.,2007,Rice,https://www.cs.rice.edu/~sc40/
Sebastian Burckhard,Ph.D.,2007,MSR,
Vladimir Gapeyev,Ph.D. ,2006,,
Michael Levin,Ph.D. ,2005,Microsoft,
Arun Chandrasekharapuram,Masters,2005,,
Michael McDougall,Ph.D.,2005,Grammatech,
Eijiro Sumii,Ph.D. @ Tokyo,2004,Tohoku Univ.,https://www.ecei.tohoku.ac.jp/ecei_web/Laboratory/sumii_e_index.html
Gunjan Gupta,Masters,2004,,
Jason Simas,Masters,2004,,
Madhusudan Parthasarathy,Post-doc,2004,UIUC,http://madhu.cs.illinois.edu/
Zijiang Yang,Ph.D.,2003,Western Michigan,https://cs.wmich.edu/~zijiang/
Franjo Ivancic,Ph.D.,2003,Google,
Supratik Mukhopadhyay,Post-doc,2002,Louisiana State Univ.,https://www.lsu.edu/eng/cse/people/faculty/mukhopadhyay.php
Haruo Hosoya,Ph.D. @ Tokyo,2001,Tokyo Univ.,https://bicr.atr.jp/~hosoya/
Minsu Kang,Masters,2001,,
Bow-Yaw Wang,Ph.D. ,2001,Academia Sinica,https://www.google.com/search?client=firefox-b-1-d&q=Bow-Yaw+Wang
Salvatore La Torre,Ph.D.,2001,U. Salerno,
Thao Dang,Post-doc,2001,CNRS,http://www-verimag.imag.fr/PEOPLE/Thao.Dang/
Atsushi Igarashi,Ph.D. @ Tokyo,2000,Kyoto Univ.,
Himyanshu Anand,Masters,2000,,
George Pappa,Post-doc,2000,UPenn,https://www.georgejpappas.org/
Radu Grosu,Post-doc,2000,TU Vienna,https://ti.tuwien.ac.at/cps/people/grosu
Arnabnil Bhattacharjee,Masters,1999,,
